Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
North! or Be Eaten,Andrew Peterson,"",9781400073870,paperback,read,2024/06/04,2024/09/03,2024/06/03-2024/09/03,1,adventurous,medium,Plot,Yes,"","","",4.0,"","","",read-to-lola,No
High Output Management,Andrew S. Grove,"",9780679762881,paperback,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
Stoicism: A Very Short Introduction,Brad Inwood,"","",,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
"The Compound Effect: jumpstart your income, your life, your success",Darren Hardy,"",9780306924637,hardcover,to-read,2023/01/01,"","",0,"",,,,,,,,,"",,recommended,No
The Shining,Stephen King,"","",digital,read,2024/11/09,2024/12/26,2024/11/09-2024/12/26,1,"dark, mysterious, tense",slow,Character,It's complicated,Yes,It's complicated,Yes,4.75,"<div>Great book. My only complaint is that the early pacing feels “off”, making the first jaunt of the book feeling quite slow/context-setting heavy… Yet, it feels like it builds naturally and snowballs well, but only through the second half of the book. As a result of that, I could see people ditching it early due to struggling to commit to it before the second half.</div>","","","",No
The Girl Who Would Be Free: A Fable About Epictetus,"Victor Juhasz, Ryan Holiday","",9798985729108,hardcover,to-read,2023/01/08,"","",0,"",,,,,,,,,"",,"",No
The Rise of Theodore Roosevelt,Edmund Morris,"",9780307878199,audio,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,"Bill Gates (Contributor), Ralph Leighton",9780393355628,paperback,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
Dracula,Bram Stoker,"",9780141196886,hardcover,to-read,2024/01/03,"","",0,"",,,,,,,,,"",,read-together,Yes
The Peter Principle,"Raymond Hull, Laurence J. Peter","",9781568491615,hardcover,to-read,2023/02/10,"","",0,"",,,,,,,,,"",,"",No
